Number,Draw Date,Prize Group
0007,2002-05-26,Consolation Prize
0007,2001-12-12,First Prize
0007,2000-10-04,Starter Prize
0007,2000-07-01,Starter Prize
0007,1999-02-21,Consolation Prize
0007,1995-12-02,Third Prize
0008,2024-07-21,Starter Prize
0008,2024-02-28,Second Prize
0008,2024-02-17,Consolation Prize
0008,2023-07-23,Consolation Prize
0008,2022-01-05,Consolation Prize
0008,2015-03-18,First Prize
0008,2013-10-16,Consolation Prize
0008,2012-09-08,Starter Prize
0008,2010-04-24,Starter Prize
0008,2009-06-06,Starter Prize
0008,2003-06-29,Third Prize
0008,1999-12-12,Starter Prize
0008,1992-10-03,Consolation Prize
0009,2021-06-20,Consolation Prize
0009,2015-05-31,Starter Prize
0009,2013-11-02,Consolation Prize
0009,2009-04-05,Starter Prize
0009,2008-11-30,Third Prize
0009,2007-03-04,First Prize
0009,2003-03-08,Starter Prize
0010,2025-01-18,Starter Prize
0010,2024-02-17,Third Prize
0010,2018-10-03,Starter Prize
0010,2013-03-31,Consolation Prize
0010,2009-03-18,Consolation Prize
0010,2006-08-23,Starter Prize
0010,2005-04-13,Consolation Prize
0010,2003-05-04,Starter Prize
0010,1999-11-28,Starter Prize
0010,1994-07-31,Consolation Prize
0010,1991-11-03,Consolation Prize
0010,1987-07-26,Starter Prize
0010,1987-03-08,First Prize
0011,2023-01-07,Third Prize
0011,2021-03-20,Consolation Prize
0011,2019-11-23,Consolation Prize
0011,2019-09-29,Consolation Prize
0011,2018-06-13,Consolation Prize
0011,2016-09-07,Consolation Prize
0011,2014-01-18,Starter Prize
0011,2012-11-03,Consolation Prize
0011,2001-08-22,Consolation Prize
0011,1998-06-06,Third Prize
0011,1988-10-02,Starter Prize
0012,2021-02-20,Second Prize
0012,2015-07-15,Consolation Prize
0012,2012-11-11,Consolation Prize
0012,2011-10-29,Consolation Prize
0012,2009-05-23,Consolation Prize
0012,2009-05-06,Starter Prize
0012,2000-09-23,Starter Prize
0012,1998-11-01,Third Prize
0012,1990-06-09,Starter Prize
0013,2025-11-09,Starter Prize
0013,2023-04-26,Consolation Prize
0013,2020-08-23,Consolation Prize
0013,2016-08-14,Consolation Prize
0013,2016-06-04,Consolation Prize
0013,2015-12-19,Consolation Prize
0013,2012-03-07,Consolation Prize
0013,2004-12-29,Third Prize
0013,2002-10-20,First Prize
0013,2000-08-20,Consolation Prize
0013,1997-12-14,First Prize
0013,1988-05-22,Starter Prize
0014,2024-11-06,Consolation Prize
0014,2022-07-23,Starter Prize
0014,2017-05-10,Starter Prize
0014,2015-04-08,Starter Prize
0014,2012-11-25,Consolation Prize
0014,2001-08-04,Consolation Prize
0014,1994-04-23,Consolation Prize
0014,1991-04-21,Third Prize
0015,2023-09-20,Consolation Prize
0015,2023-05-17,Starter Prize
0015,2022-06-26,Starter Prize
0015,2021-03-10,Starter Prize
0015,2018-06-03,Consolation Prize
0015,2017-11-15,Consolation Prize
0015,2016-09-28,Consolation Prize
0015,2016-05-21,Consolation Prize
0015,2014-04-30,Starter Prize
0015,2011-08-20,Consolation Prize
0015,2011-03-16,Starter Prize
0015,2010-04-14,Consolation Prize
0015,2008-05-17,Starter Prize
0015,2006-12-20,Starter Prize
0015,2004-11-07,Starter Prize
0015,2000-08-16,Starter Prize
0015,1998-05-23,Second Prize
0015,1995-04-09,Starter Prize
0015,1994-06-26,Third Prize
0015,1992-08-22,Starter Prize
0015,1986-09-14,Consolation Prize
0016,2022-08-21,Third Prize
0016,2017-03-15,Consolation Prize
0016,2016-05-11,Starter Prize
0016,2013-07-06,Starter Prize
0016,2013-05-25,Starter Prize
0016,2002-03-20,Consolation Prize
0016,1999-11-20,Consolation Prize
0016,1988-02-14,Starter Prize
0016,1987-12-27,First Prize
0016,1987-12-20,Consolation Prize
0016,1986-08-02,Third Prize
0017,2019-12-15,Consolation Prize
0017,2011-08-07,Starter Prize
0017,2008-12-03,Starter Prize
0017,2008-06-04,Consolation Prize
0017,2006-09-20,Starter Prize
0017,2002-09-22,Consolation Prize
0017,2002-04-28,Consolation Prize
0017,2000-08-02,First Prize
0017,1990-10-06,Starter Prize
0017,1989-04-15,Starter Prize
0018,2020-01-19,Consolation Prize
0018,2015-09-06,Consolation Prize
0018,2014-12-03,Starter Prize
0018,2014-04-20,Consolation Prize
0018,2013-09-15,Starter Prize
0018,2007-01-21,Consolation Prize
0018,2004-07-25,Consolation Prize
0018,1999-07-24,Starter Prize
0018,1999-01-02,Consolation Prize
0018,1994-04-23,Starter Prize
0018,1991-12-21,Third Prize
0019,2025-04-27,Starter Prize
0019,2020-10-21,Starter Prize
0019,2020-01-15,Second Prize
0019,2019-03-20,Third Prize
0019,2018-05-16,Starter Prize
0019,2015-07-18,Consolation Prize
0019,2014-06-21,Consolation Prize
0019,2010-08-08,Second Prize
0019,2009-12-12,Starter Prize
0019,2006-03-29,Starter Prize
0019,2004-01-04,Consolation Prize
0019,2003-01-22,Starter Prize
0019,2000-07-01,Starter Prize
0019,1997-09-27,Consolation Prize
0019,1997-07-06,Starter Prize
0019,1995-12-16,Starter Prize
0019,1995-02-25,Starter Prize
0019,1994-07-31,Starter Prize
0019,1994-05-22,Consolation Prize
0019,1992-01-12,Third Prize
0020,2022-04-27,Consolation Prize
0020,2019-04-20,Consolation Prize
0020,2018-07-22,Consolation Prize
0020,2017-06-28,Consolation Prize
0020,2016-06-18,Starter Prize
0020,2016-02-06,Consolation Prize
0020,2015-09-27,Starter Prize
0020,2014-04-05,Consolation Prize
0020,2012-11-07,Starter Prize
0020,2007-10-17,Consolation Prize
0020,2004-03-24,Consolation Prize
0020,2002-10-30,Consolation Prize
0020,2001-08-29,Consolation Prize
0020,2000-07-09,Consolation Prize
0020,1994-08-13,Third Prize
0020,1992-10-17,Starter Prize
0020,1990-10-14,Starter Prize
0020,1986-07-19,Starter Prize
0021,2022-02-16,Second Prize
0021,2020-11-25,Starter Prize
0021,2018-04-28,Starter Prize
0021,2016-05-15,Consolation Prize
0021,2014-11-23,Starter Prize
0021,2010-12-19,Consolation Prize
0021,2008-04-30,Third Prize
0021,2007-06-24,Consolation Prize
0021,2003-05-11,Starter Prize
0021,1998-07-04,Starter Prize
0021,1995-12-16,Starter Prize
0021,1991-11-10,First Prize
0021,1990-07-07,Third Prize
0022,2025-10-18,Starter Prize
0022,2016-12-17,Starter Prize
0022,2010-07-10,Third Prize
0022,2009-04-22,Starter Prize
0022,2008-10-29,Starter Prize
0022,2008-10-25,Consolation Prize
0022,2007-12-22,Second Prize
0022,2003-03-29,Consolation Prize
0022,1997-07-20,Starter Prize
0022,1994-10-05,Starter Prize
0022,1990-03-24,Consolation Prize
0022,1989-08-26,Starter Prize
0023,2024-04-20,Consolation Prize
0023,2023-07-12,Consolation Prize
0023,2021-07-04,Starter Prize
0023,2020-02-22,Starter Prize
0023,2016-03-30,Consolation Prize
0023,2015-02-01,Consolation Prize
0023,2014-11-09,First Prize
0023,2003-07-20,Consolation Prize
0023,1998-03-15,Consolation Prize
0024,2019-03-20,Consolation Prize
0024,2016-05-14,Starter Prize
0024,2009-08-30,Starter Prize
0024,2008-05-07,Starter Prize
0024,2006-11-22,Consolation Prize
0024,2006-01-22,Consolation Prize
0024,2004-09-01,Consolation Prize
0024,2002-07-20,Consolation Prize
0024,1989-08-13,Starter Prize
0024,1987-08-16,Consolation Prize
0025,2025-02-23,Consolation Prize
0025,2019-07-27,Starter Prize
0025,2018-02-03,Second Prize
0025,2017-09-02,Starter Prize
0025,2017-03-22,Consolation Prize
0025,2012-09-01,Consolation Prize
0025,2004-06-13,Consolation Prize
0025,2003-08-09,Consolation Prize
0025,1989-10-08,Starter Prize
0025,1989-06-03,Consolation Prize
0025,1989-03-26,Consolation Prize
0025,1987-12-20,Consolation Prize
0026,2024-06-29,Starter Prize
0026,2022-12-10,Starter Prize
0026,2022-06-04,Consolation Prize
0026,2012-03-18,Consolation Prize
0026,2011-07-27,Starter Prize
0026,2011-05-25,Starter Prize
0026,2002-05-05,Starter Prize
0026,1998-01-03,Consolation Prize
0026,1997-10-05,Consolation Prize
0026,1993-12-11,Starter Prize
0026,1992-03-15,Starter Prize
0026,1987-02-14,Consolation Prize
0027,2023-03-22,First Prize
0027,2013-12-07,Starter Prize
0027,2012-10-14,Starter Prize
0027,2009-06-03,Starter Prize
0027,2004-12-18,Consolation Prize
0027,2004-07-28,Starter Prize
0027,2001-10-27,Starter Prize
0027,2001-01-07,Starter Prize
0027,1994-02-02,Consolation Prize
0027,1994-01-22,Consolation Prize
0027,1992-03-01,Starter Prize
0027,1990-03-31,Starter Prize
0027,1986-08-24,Starter Prize
0028,2024-09-07,Starter Prize
0028,2022-07-02,Starter Prize
0028,2019-07-24,Starter Prize
0028,2018-06-06,Starter Prize
0028,2015-11-18,Consolation Prize
0028,2010-01-17,Consolation Prize
0028,1997-02-09,First Prize
0028,1996-06-02,Consolation Prize
0028,1995-11-25,Starter Prize
0028,1986-11-23,Starter Prize
0029,2025-05-17,Starter Prize
0029,2024-05-15,Starter Prize
0029,2023-07-08,Starter Prize
0029,2022-08-21,Starter Prize
0029,2021-10-23,Consolation Prize
0029,2002-12-08,Second Prize
0029,2002-06-26,Starter Prize
0029,2001-05-13,Consolation Prize
0029,1993-04-17,Starter Prize
0030,2025-07-16,Starter Prize
0030,2023-01-11,Consolation Prize
0030,2016-12-04,Consolation Prize
0030,2016-11-12,Starter Prize
0030,2015-04-26,Starter Prize
0030,2014-02-02,Consolation Prize
0030,2013-08-28,Second Prize
0030,2006-12-17,Consolation Prize
0030,2003-01-11,Consolation Prize
0030,1994-02-05,Consolation Prize
0030,1992-07-25,Consolation Prize
0030,1987-11-29,Consolation Prize
0030,1986-10-04,Starter Prize
0031,2022-09-11,Third Prize
0031,2022-05-01,Starter Prize
0031,2019-11-24,Consolation Prize
0031,2017-09-13,Starter Prize
0031,2004-08-08,Consolation Prize
0031,1994-06-26,Starter Prize
0031,1986-06-07,Consolation Prize
0032,2025-03-09,Third Prize
0032,2021-03-20,Starter Prize
0032,2019-12-18,Consolation Prize
0032,2018-05-27,Second Prize
0032,2018-01-06,Starter Prize
0032,2015-07-22,Consolation Prize
0032,2015-06-17,Starter Prize
0032,2013-08-04,Consolation Prize
0032,2011-10-23,Starter Prize
0032,2010-01-02,Starter Prize
0032,2008-09-20,Third Prize
0032,2004-06-05,Consolation Prize
0032,1999-01-24,First Prize
0032,1993-07-10,Starter Prize
0032,1990-11-17,Consolation Prize
0032,1990-04-21,Starter Prize
0033,2024-01-24,Consolation Prize
0033,2020-12-30,Consolation Prize
0033,2019-01-16,Starter Prize
0033,2015-12-02,Starter Prize
0033,2015-06-07,Starter Prize
0033,2014-09-03,Starter Prize
0033,2011-04-27,Starter Prize
0033,2010-03-10,Starter Prize
0033,2008-04-05,Starter Prize
0033,1999-04-17,Consolation Prize
0033,1995-11-11,Consolation Prize
0033,1993-03-06,Consolation Prize
0034,2025-10-15,Starter Prize
0034,2024-07-10,Consolation Prize
0034,2017-10-22,Starter Prize
0034,2015-05-31,Consolation Prize
0034,2014-10-15,Starter Prize
0034,2010-02-07,Consolation Prize
0034,2008-08-27,Starter Prize
0034,2007-06-16,Starter Prize
0034,2006-05-17,Starter Prize
0034,2004-04-17,Starter Prize
0034,1995-12-02,Consolation Prize
0034,1995-03-12,Starter Prize
0034,1994-08-07,Consolation Prize
0034,1988-01-03,Starter Prize
0034,1987-12-06,Consolation Prize
0034,1987-10-25,Consolation Prize
0034,1986-11-29,Consolation Prize
0035,2018-04-01,Consolation Prize
0035,2016-05-08,Starter Prize
0035,2015-10-28,Consolation Prize
0035,2008-10-25,Starter Prize
0035,2004-01-28,Second Prize
0035,1999-04-11,Consolation Prize
0035,1991-06-01,Starter Prize
0035,1990-06-17,Consolation Prize
0035,1986-09-21,Starter Prize
0036,2023-10-29,Consolation Prize
0036,2022-04-13,Consolation Prize
0036,2019-11-06,Consolation Prize
0036,2016-01-31,Starter Prize
0036,2014-01-22,Consolation Prize
0036,2012-04-18,Starter Prize
0036,2011-11-09,Starter Prize
0036,2008-01-13,Starter Prize
0036,2006-02-12,Starter Prize
0036,2001-05-09,Consolation Prize
0036,1993-02-14,First Prize
0036,1991-06-02,Starter Prize
0037,2024-01-21,Consolation Prize
0037,2023-05-14,Starter Prize
0037,2020-10-17,Second Prize
0037,2018-10-06,Starter Prize
0037,2016-09-11,Starter Prize
0037,2002-02-10,Starter Prize
0037,2000-02-26,Consolation Prize
0037,1992-03-15,Consolation Prize
0037,1989-07-09,Second Prize
0038,2025-01-11,Starter Prize
0038,2016-01-03,Starter Prize
0038,2012-04-28,Consolation Prize
0038,2010-01-23,Starter Prize
0038,2007-01-20,Starter Prize
0038,2001-07-08,Starter Prize
0038,1995-11-05,Consolation Prize
0038,1995-04-16,Starter Prize
0038,1992-02-23,Starter Prize
0038,1988-04-09,Consolation Prize
0039,2022-08-31,Starter Prize
0039,2021-05-08,Consolation Prize
0039,2009-03-18,Consolation Prize
0039,2009-02-18,Second Prize
0039,2008-11-23,Consolation Prize
0039,2007-08-15,Consolation Prize
0039,2007-01-13,Consolation Prize
0039,2005-12-03,Consolation Prize
0039,1996-11-23,Starter Prize
0039,1995-01-21,Consolation Prize
0039,1991-10-26,Starter Prize
0040,2018-02-11,Third Prize
0040,2005-10-29,Consolation Prize
0040,2005-09-24,Starter Prize
0040,1999-03-28,Consolation Prize
0040,1998-07-05,Consolation Prize
0040,1998-05-30,Starter Prize
0040,1993-12-11,Consolation Prize
0040,1990-03-25,Starter Prize
0041,2024-11-27,Consolation Prize
0041,2022-10-29,Starter Prize
0041,2020-02-02,Starter Prize
0041,2011-08-20,First Prize
0041,2008-12-03,Starter Prize
0041,2008-01-09,Starter Prize
0041,2002-06-29,Starter Prize
0041,2001-11-11,Starter Prize
0041,1993-07-10,Consolation Prize
0041,1992-04-25,Consolation Prize
0041,1990-12-30,Starter Prize
0041,1989-11-04,Second Prize
0042,2025-07-05,Consolation Prize
0042,2020-12-27,Consolation Prize
0042,2019-12-21,First Prize
0042,2016-07-16,Second Prize
0042,2013-10-12,Starter Prize
0042,2011-03-02,Consolation Prize
0042,2009-05-24,Consolation Prize
0042,2004-08-28,Starter Prize
0042,2002-03-20,Consolation Prize
0042,1996-03-24,Starter Prize
0042,1995-01-08,Consolation Prize
0042,1993-07-25,Consolation Prize
0042,1992-07-26,Second Prize
0042,1992-05-09,Consolation Prize
0043,2025-12-06,Starter Prize
0043,2025-05-24,Starter Prize
0043,2024-08-14,Starter Prize
0043,2022-07-02,Starter Prize
0043,2021-06-05,Starter Prize
0043,2021-02-28,Consolation Prize
0043,2017-07-05,Starter Prize
0043,2009-12-23,Third Prize
0043,2004-08-18,Consolation Prize
0043,2001-02-10,Consolation Prize
0043,1991-06-16,Starter Prize
0043,1989-07-30,Starter Prize
0043,1988-03-12,Starter Prize
0044,2021-09-22,Consolation Prize
0044,2017-09-10,Starter Prize
0044,2015-02-01,Third Prize
0044,2013-01-23,Starter Prize
0044,2010-04-18,Consolation Prize
0044,2010-02-10,Starter Prize
0044,2010-02-06,Consolation Prize
0044,2008-08-31,Starter Prize
0044,2008-04-09,Starter Prize
0044,2007-10-06,Third Prize
0044,2005-12-11,Second Prize
0044,2005-10-01,Starter Prize
0044,1999-01-23,Consolation Prize
0044,1998-05-09,Consolation Prize
0044,1997-11-09,Consolation Prize
0044,1988-07-09,Starter Prize
0044,1986-12-07,Consolation Prize
0045,2025-05-07,Starter Prize
0045,2018-01-17,Consolation Prize
0045,2017-05-31,Consolation Prize
0045,2016-02-14,Starter Prize
0045,2016-02-13,Starter Prize
0045,2015-05-27,Consolation Prize
0045,2015-01-31,Consolation Prize
0045,2010-02-07,Starter Prize
0045,2007-07-14,Consolation Prize
0045,2006-12-27,Consolation Prize
0045,2006-08-02,Starter Prize
0045,2004-05-12,Consolation Prize
0045,2003-08-17,First Prize
0045,2002-04-21,Consolation Prize
0045,2001-10-03,Starter Prize
0045,1988-01-16,Starter Prize
0046,2025-03-01,Starter Prize
0046,2022-05-28,Starter Prize
0046,2021-06-30,Consolation Prize
0046,2012-02-01,Consolation Prize
0046,2007-09-19,Starter Prize
0046,2007-01-21,Third Prize
0046,2003-06-07,Starter Prize
0046,2002-09-01,Starter Prize
0046,2002-02-16,Starter Prize
0046,1998-08-22,Consolation Prize
0046,1994-06-19,Consolation Prize
0046,1993-11-14,Consolation Prize
0046,1987-06-20,Starter Prize
0047,2025-05-07,Consolation Prize
0047,2022-02-27,Starter Prize
0047,2010-03-06,First Prize
0047,2005-03-02,Consolation Prize
0047,2005-02-13,Starter Prize
0047,1992-05-17,Starter Prize
0047,1989-05-21,Starter Prize
0048,2020-02-08,Starter Prize
0048,2017-11-11,Consolation Prize
0048,2016-12-07,Starter Prize
0048,2016-11-20,Consolation Prize
0048,2016-08-17,Consolation Prize
0048,2015-03-25,Starter Prize
0048,2009-11-04,Starter Prize
0048,2009-09-09,Starter Prize
0048,2009-06-27,Consolation Prize
0048,2001-04-25,Third Prize
0048,1994-07-03,Starter Prize
0048,1992-08-16,Consolation Prize
0048,1989-09-03,Consolation Prize
0048,1988-03-26,Starter Prize
0049,2025-06-18,Starter Prize
0049,2024-10-16,Consolation Prize
0049,2022-11-12,Starter Prize
0049,2021-04-14,Consolation Prize
0049,2020-03-21,Starter Prize
0049,2018-08-04,Consolation Prize
0049,2018-06-13,Starter Prize
0049,2018-06-06,Second Prize
0049,2016-07-16,Consolation Prize
0049,2013-02-10,Starter Prize
0049,2011-05-21,Starter Prize
0049,2009-05-02,Consolation Prize
0049,2007-12-30,Consolation Prize
0049,2007-04-04,Consolation Prize
0049,2004-03-27,Starter Prize
0049,2001-10-14,First Prize
0049,2000-05-13,Consolation Prize
0049,2000-04-22,Second Prize
0049,1998-01-04,Consolation Prize
0049,1996-09-28,Starter Prize
0049,1989-03-18,Starter Prize
0050,2025-05-10,First Prize
0050,2023-07-26,Consolation Prize
0050,2014-02-26,Starter Prize
0050,2009-01-04,Consolation Prize
0050,2007-06-23,Second Prize
0050,1996-03-23,Starter Prize
0050,1996-03-17,Starter Prize
0050,1989-07-30,First Prize
0051,2023-10-04,Starter Prize
0051,2023-05-27,Third Prize
0051,2021-09-05,Consolation Prize
0051,2018-10-17,Consolation Prize
0051,2012-12-22,Consolation Prize
0051,2009-11-08,Consolation Prize
0051,2009-10-24,Consolation Prize
0051,2007-07-25,Consolation Prize
0051,2006-04-01,Consolation Prize
0051,2003-06-25,Starter Prize
0051,2001-05-05,Consolation Prize
0051,1995-10-15,Starter Prize
0051,1989-05-28,Consolation Prize
0051,1989-01-28,Starter Prize
0051,1987-11-08,Starter Prize
0052,2014-01-15,Second Prize
0052,2007-01-20,Consolation Prize
0052,2006-06-03,Starter Prize
0052,2004-09-26,First Prize
0052,2004-05-22,Consolation Prize
0052,1994-09-11,First Prize
0052,1994-06-19,Starter Prize
0052,1992-02-16,Second Prize
0052,1991-07-21,Consolation Prize
0052,1989-01-21,Consolation Prize
0053,2021-02-06,Consolation Prize
0053,2018-08-01,Starter Prize
0053,2012-10-06,Consolation Prize
0053,2008-11-29,Consolation Prize
0053,2004-04-07,Consolation Prize
0053,2003-01-12,Starter Prize
0053,1995-12-23,Consolation Prize
0053,1994-11-06,Starter Prize
0053,1992-10-25,Starter Prize
0053,1990-12-22,Starter Prize
0053,1988-12-24,Consolation Prize
0054,2023-08-23,Starter Prize
0054,2023-07-12,Starter Prize
0054,2023-03-01,Starter Prize
0054,2021-03-03,Consolation Prize
0054,2019-09-28,Consolation Prize
0054,2015-08-16,Starter Prize
0054,2014-09-17,Starter Prize
0054,2012-01-08,Consolation Prize
0054,2009-07-18,Starter Prize
0054,2008-03-08,Consolation Prize
0054,2006-08-02,Starter Prize
0054,2003-05-10,First Prize
0054,2000-05-13,Starter Prize
0054,1996-09-04,Starter Prize
0054,1994-06-12,Starter Prize
0054,1992-11-28,Consolation Prize
0054,1990-12-30,Consolation Prize
0054,1990-07-21,Consolation Prize
0054,1989-02-11,Consolation Prize
0055,2026-01-24,Consolation Prize
0055,2025-11-01,Starter Prize
0055,2022-03-20,Starter Prize
0055,2019-03-23,Second Prize
0055,2013-01-13,Starter Prize
0055,2012-09-30,Starter Prize
0055,2007-04-25,First Prize
0055,2001-05-23,Starter Prize
0055,1998-08-15,Consolation Prize
0055,1989-05-21,Starter Prize
0056,2025-05-17,Starter Prize
0056,2024-12-18,Consolation Prize
0056,2021-11-13,Consolation Prize
0056,2018-10-21,Second Prize
0056,2016-02-17,Consolation Prize
0056,2015-01-21,Consolation Prize
0056,2012-05-26,Consolation Prize
0056,2008-07-16,Starter Prize
0056,2006-05-27,Starter Prize
0056,2004-08-21,Starter Prize
0056,2001-05-02,Consolation Prize
0056,1997-09-13,Starter Prize
0056,1990-04-29,Starter Prize
0057,2022-02-19,Starter Prize
0057,2009-01-25,Consolation Prize
0057,2006-07-12,Starter Prize
0058,2025-02-26,Consolation Prize
0058,2023-10-15,Consolation Prize
0058,2022-05-01,Second Prize
0058,2019-09-14,Consolation Prize
0058,2016-12-14,Starter Prize
0058,2011-10-16,Consolation Prize
0058,2008-02-27,Consolation Prize
0058,2000-09-16,Starter Prize
0058,1997-09-20,Starter Prize
0058,1994-06-12,Consolation Prize
0058,1994-02-02,Consolation Prize
0058,1993-09-19,Consolation Prize
0059,2024-12-21,Consolation Prize
0059,2024-04-20,Consolation Prize
0059,2023-11-11,Starter Prize
0059,2023-04-05,Consolation Prize
0059,2017-12-17,Consolation Prize
0059,2014-03-05,Starter Prize
0059,2012-12-29,Consolation Prize
0059,2012-10-03,Starter Prize
0059,2011-02-05,Third Prize
0059,2010-08-21,Consolation Prize
0059,2008-07-12,Consolation Prize
0059,2004-09-29,Consolation Prize
0059,1998-11-04,Second Prize
0059,1996-07-03,Starter Prize
0059,1994-04-02,Starter Prize
0059,1988-07-30,Starter Prize
0059,1986-07-12,Starter Prize
0060,2021-05-19,Consolation Prize
0060,2021-05-05,Consolation Prize
0060,2020-10-25,Starter Prize
0060,2013-09-22,Third Prize
0060,2013-02-03,Consolation Prize
0060,2003-04-19,Starter Prize
0060,2002-09-21,Consolation Prize
0060,2002-02-27,Consolation Prize
0060,1991-09-08,Consolation Prize
0061,2023-10-15,Consolation Prize
0061,2019-06-02,Starter Prize
0061,2015-05-02,Consolation Prize
0061,2011-10-29,Starter Prize
0061,2007-02-21,Starter Prize
0061,2005-03-16,Consolation Prize
0061,2004-09-08,Consolation Prize
0061,2000-09-03,Consolation Prize
0061,2000-07-08,Starter Prize
0061,1994-03-19,Consolation Prize
0062,2021-11-06,Third Prize
0062,2020-12-27,Consolation Prize
0062,2020-01-15,Consolation Prize
0062,2016-06-05,Second Prize
0062,2014-02-16,Starter Prize
0062,2013-10-30,Second Prize
0062,2004-04-24,Consolation Prize
0062,1998-03-21,Starter Prize
0062,1998-01-24,First Prize
0062,1996-08-24,Consolation Prize
0062,1994-09-07,Starter Prize
0062,1986-11-29,Starter Prize
0063,2021-04-10,Third Prize
0063,2020-08-12,Starter Prize
0063,2018-11-10,Second Prize
0063,2015-03-25,Starter Prize
0063,2010-03-21,Third Prize
0063,2005-09-04,Consolation Prize
0063,1986-11-01,Consolation Prize
0064,2021-11-24,Third Prize
0064,2018-07-14,Starter Prize
0064,2018-05-27,Consolation Prize
0064,2016-09-14,Starter Prize
0064,2016-01-30,First Prize
0064,2004-11-17,Consolation Prize
0064,2003-01-25,Starter Prize
0064,2002-12-29,Consolation Prize
0064,1993-09-01,Starter Prize
0064,1993-04-24,Consolation Prize
0064,1990-09-02,Starter Prize
0064,1990-01-27,Starter Prize
0064,1986-11-02,Starter Prize
0064,1986-09-20,Consolation Prize
0065,2025-08-27,Starter Prize
0065,2011-05-25,Starter Prize
0065,2003-04-12,Starter Prize
0065,2002-04-21,Consolation Prize
0065,2001-02-03,Starter Prize
0065,1999-09-11,Starter Prize
0065,1997-06-07,Third Prize
0065,1997-04-19,Consolation Prize
0065,1991-01-19,First Prize
0066,2021-05-16,Consolation Prize
0066,2019-01-19,Starter Prize
0066,2014-12-07,Starter Prize
0066,2010-07-04,Consolation Prize
0066,2008-01-26,Consolation Prize
0066,2007-03-14,Consolation Prize
0066,2004-02-11,Starter Prize
0066,1996-12-04,Starter Prize
0066,1995-11-11,Consolation Prize
0067,2023-11-05,Third Prize
0067,2021-05-01,Consolation Prize
0067,2019-05-12,Consolation Prize
0067,2018-11-14,Third Prize
0067,2018-08-11,Consolation Prize
0067,2015-10-07,Consolation Prize
0067,2010-01-23,Starter Prize
0067,2008-01-05,Starter Prize
0067,2007-03-18,Consolation Prize
0067,2005-10-02,Starter Prize
0067,2001-12-30,Starter Prize
0067,1999-12-11,Consolation Prize
0067,1990-04-21,Consolation Prize
0068,2020-07-12,Starter Prize
0068,2013-04-10,Consolation Prize
0068,2012-12-30,Third Prize
0068,2008-12-17,Starter Prize
